Unnamed: 0,runstring,t
0,0000000.bin,12721484.49698791
1,0000001.bin,31075093.634509604
2,0000002.bin,5586317.989021233
3,0000003.bin,
4,0000004.bin,31926744.02781052
5,0000005.bin,10137592.696723917
6,0000006.bin,28252907.21457652
7,0000007.bin,109959573.22380294
8,0000008.bin,101327711.69762357
9,0000009.bin,9733261.665589547
10,0000010.bin,16247028.84386303
11,0000011.bin,207035255.06091297
12,0000012.bin,20595539.756120082
13,0000013.bin,93619585.2981019
14,0000014.bin,21878139.735144824
15,0000015.bin,64195020.29737852
16,0000016.bin,201065757.40677056
17,0000017.bin,59990126.135875694
18,0000018.bin,20336728.929049894
19,0000019.bin,25056324.880448077
20,0000020.bin,6506156.485262067
21,0000021.bin,6070802.581817323
22,0000022.bin,107344010.70163903
23,0000023.bin,18590204.795074232
24,0000024.bin,159029866.27873594
25,0000025.bin,31527861.752971306
26,0000026.bin,25049207.16385068
27,0000027.bin,8433995.037211029
28,0000028.bin,22040065.22190205
29,0000029.bin,7209677.56587583
30,0000030.bin,34578592.7140684
31,0000031.bin,21723539.93490061
32,0000032.bin,6043063.736546313
33,0000033.bin,25747428.463617437
34,0000034.bin,4920425.314900558
35,0000035.bin,27359097.664952178
36,0000036.bin,50128546.730972566
37,0000037.bin,35122207.56683212
38,0000038.bin,388859735.3611801
39,0000039.bin,48359891.77843231
40,0000040.bin,10408460.439183481
41,0000041.bin,18165175.244360313
42,0000042.bin,15419731.457154654
43,0000043.bin,13096038.52190959
44,0000044.bin,12355014.322555466
45,0000045.bin,62093824.052329935
46,0000046.bin,65934183.9541236
47,0000047.bin,55644452.99975522
48,0000048.bin,8559270.663369061
49,0000049.bin,81702839.23688574
50,0000050.bin,9888443.143607836
51,0000051.bin,25772963.54929116
52,0000052.bin,74212688.07686563
53,0000053.bin,61827702.476824254
54,0000054.bin,6760329.208862531
55,0000055.bin,21816068.51699814
56,0000056.bin,322948427.40925
57,0000057.bin,32577058.116252203
58,0000058.bin,16564896.747354696
59,0000059.bin,39848697.22349689
60,0000060.bin,35403966.20414554
61,0000061.bin,5010341.059708429
62,0000062.bin,52949228.16878257
63,0000063.bin,32230464.568062738
64,0000064.bin,6900931.499707342
65,0000065.bin,23624341.75500012
66,0000066.bin,42563920.9363094
67,0000067.bin,53643963.765425235
68,0000068.bin,66060949.682985075
69,0000069.bin,7139287.068035935
70,0000070.bin,12326646.712988166
71,0000071.bin,25196867.051722404
72,0000072.bin,43889670.75087663
73,0000073.bin,14104432.144405263
74,0000074.bin,6068649.09813338
75,0000075.bin,108912972.31568734
76,0000076.bin,12017017.789250009
77,0000077.bin,36946773.68898515
78,0000078.bin,34903517.82873057
79,0000079.bin,49134845.50264914
80,0000080.bin,
81,0000081.bin,12418336.689263921
82,0000082.bin,22965341.403721057
83,0000083.bin,13609389.407392148
84,0000084.bin,12785944.768671883
85,0000085.bin,131226403.56814301
86,0000086.bin,122627105.3219527
87,0000087.bin,11505106.743492462
88,0000088.bin,171795090.85112
89,0000089.bin,15971659.548304092
90,0000090.bin,178066551.7005323
91,0000091.bin,8589961.51671374
92,0000092.bin,30719634.492757514
93,0000093.bin,191012571.910514
94,0000094.bin,219280631.83342358
95,0000095.bin,18541679.49866177
96,0000096.bin,12730161.190465685
97,0000097.bin,17809972.684362065
98,0000098.bin,34651076.35880952
99,0000099.bin,27816120.7415213
100,0000100.bin,502144487.250518
101,0000101.bin,25990919.695551343
102,0000102.bin,34337557.27281738
103,0000103.bin,109493744.5580576
104,0000104.bin,7005900.410740373
105,0000105.bin,7083327.074040445
106,0000106.bin,584754765.5907321
107,0000107.bin,12012117.97921928
108,0000108.bin,147597020.83976442
109,0000109.bin,15825383.46825249
110,0000110.bin,12753599.032348413
111,0000111.bin,13741969.222666489
112,0000112.bin,25028504.275443487
113,0000113.bin,6018740.202835204
114,0000114.bin,51549056.61592305
115,0000115.bin,82653668.56725872
116,0000116.bin,35286901.900213204
117,0000117.bin,301926005.3606078
118,0000118.bin,36012604.27584275
119,0000119.bin,22542840.361745246
120,0000120.bin,16573314.362602254
121,0000121.bin,14519808.950781168
122,0000122.bin,23354877.584089343
123,0000123.bin,243871571.2724056
124,0000124.bin,20674444.67914492
125,0000125.bin,416917584.416947
126,0000126.bin,72333063.96664846
127,0000127.bin,45606590.22806214
128,0000128.bin,862988409.8060677
129,0000129.bin,51091909.52771994
130,0000130.bin,23137144.73330368
131,0000131.bin,36114847.10201369
132,0000132.bin,133178707.51972437
133,0000133.bin,10387712.406258306
134,0000134.bin,17698380.35520042
135,0000135.bin,11947241.00489515
136,0000136.bin,21555705.023576822
137,0000137.bin,20151222.05287863
138,0000138.bin,19484624.177120402
139,0000139.bin,23523525.65153759
140,0000140.bin,332049958.2139468
141,0000141.bin,280690212.0498345
142,0000142.bin,50479173.082129635
143,0000143.bin,47270374.81884252
144,0000144.bin,80237359.20577754
145,0000145.bin,21507723.54179097
146,0000146.bin,95173934.09460989
147,0000147.bin,10935153.15988599
148,0000148.bin,41762103.31319084
149,0000149.bin,90147560.61944704
150,0000150.bin,10017718.809547707
151,0000151.bin,396821753.8730025
152,0000152.bin,61897038.210492484
153,0000153.bin,26127285.270616844
154,0000154.bin,11967549.38151517
155,0000155.bin,8668516.587044552
156,0000156.bin,22684460.315529786
157,0000157.bin,46402650.7115283
158,0000158.bin,14336638.494649049
159,0000159.bin,508128674.8354315
160,0000160.bin,30517452.854147274
161,0000161.bin,15509753.16571008
162,0000162.bin,30464613.8640904
163,0000163.bin,14255947.693254717
164,0000164.bin,
165,0000165.bin,72057481.67773958
166,0000166.bin,74648635.15922232
167,0000167.bin,85390456.8278573
168,0000168.bin,41116560.05089276
169,0000169.bin,35775447.033180304
170,0000170.bin,34708658.22220743
171,0000171.bin,13052691.392054535
172,0000172.bin,43801000.61314121
173,0000173.bin,31978939.553318705
174,0000174.bin,32819455.13101707
175,0000175.bin,5555801.472955739
176,0000176.bin,84763158.05639254
177,0000177.bin,13569659.8722548
178,0000178.bin,5014825.623693923
179,0000179.bin,21100861.435211953
180,0000180.bin,400483740.8170597
181,0000181.bin,404176807.23470175
182,0000182.bin,64661971.8588365
183,0000183.bin,12491133.717825847
184,0000184.bin,16197722.499158122
185,0000185.bin,612554833.2393477
186,0000186.bin,35871731.61510429
187,0000187.bin,14964089.275855599
188,0000188.bin,446441261.6922375
189,0000189.bin,359801428.4410904
