,Unnamed: 0,runstring,t
0,0,0000000.bin,200176340.99557322
1,1,0000001.bin,89152919.04851419
2,2,0000002.bin,40917257.00360982
3,3,0000003.bin,35119970.38264273
4,4,0000004.bin,98279688.69324857
5,5,0000005.bin,27160482.928827085
6,6,0000006.bin,149711081.85302475
7,7,0000007.bin,67504666.70748462
8,8,0000008.bin,545407587.6191208
9,9,0000009.bin,590415507.9137254
10,10,0000010.bin,107143515.40729761
11,11,0000011.bin,101311988.22769345
12,12,0000012.bin,42042990.68173081
13,13,0000013.bin,20213677.588890787
14,14,0000014.bin,243995970.71990454
15,15,0000015.bin,340251273.56561404
16,16,0000016.bin,880947364.5695655
17,17,0000017.bin,108553522.04122229
18,18,0000018.bin,134712557.9282179
19,19,0000019.bin,78553681.8181156
20,20,0000020.bin,215992010.56523243
21,21,0000021.bin,47251757.52647632
22,22,0000022.bin,28012948.975167084
23,23,0000023.bin,56491075.40966443
24,24,0000024.bin,
25,25,0000025.bin,139586622.86096793
26,26,0000026.bin,76377795.34333389
27,27,0000027.bin,353636421.36252385
28,28,0000028.bin,99975951.34847541
29,29,0000029.bin,149343570.8191226
30,30,0000030.bin,18814604.26399088
31,31,0000031.bin,279044343.6526982
32,32,0000032.bin,203162466.97291595
33,33,0000033.bin,33118231.756476037
34,34,0000034.bin,91920634.0827489
35,35,0000035.bin,444223431.7239949
36,36,0000036.bin,86370902.49241252
37,37,0000037.bin,418716722.6358002
38,38,0000038.bin,550449919.4410083
39,39,0000039.bin,85074229.83561915
40,40,0000040.bin,37678562.32278215
41,41,0000041.bin,137808688.90741998
42,42,0000042.bin,56920706.32660473
43,43,0000043.bin,64194472.87723765
44,44,0000044.bin,17033475.84968282
45,45,0000045.bin,28612158.564890265
46,46,0000046.bin,55289071.49482757
47,47,0000047.bin,77958103.35057484
48,48,0000048.bin,68184037.36538173
49,49,0000049.bin,155126758.06098622
50,50,0000050.bin,334204180.1716229
51,51,0000051.bin,374111135.2686825
52,52,0000052.bin,77911458.65428205
53,53,0000053.bin,118387565.6821321
54,54,0000054.bin,147369065.88603002
55,55,0000055.bin,440638381.2441801
56,56,0000056.bin,67790622.66635111
57,57,0000057.bin,36542208.03347334
58,58,0000058.bin,34100368.06101845
59,59,0000059.bin,30500916.229337003
60,60,0000060.bin,92602697.87851973
61,61,0000061.bin,26570938.079491563
62,62,0000062.bin,113355480.62801124
63,63,0000063.bin,538307266.5030185
64,64,0000064.bin,134687989.59835038
65,65,0000065.bin,22104773.892463714
66,66,0000066.bin,148818282.72351965
67,67,0000067.bin,557394308.5264674
68,68,0000068.bin,639270749.9293295
69,69,0000069.bin,358267339.96675175
70,70,0000070.bin,51705203.72562871
71,71,0000071.bin,124631596.89915359
72,72,0000072.bin,197890733.3543085
73,73,0000073.bin,39479897.11918786
74,74,0000074.bin,33167031.456676416
75,75,0000075.bin,65818535.357655086
76,76,0000076.bin,29937499.378458656
77,77,0000077.bin,31964600.308090266
78,78,0000078.bin,
79,79,0000079.bin,82817768.84473768
80,80,0000080.bin,50165947.05451965
81,81,0000081.bin,156559310.05033955
82,82,0000082.bin,90511145.32838985
83,83,0000083.bin,182409971.66481182
84,84,0000084.bin,590683063.6305451
85,85,0000085.bin,661809851.6561404
86,86,0000086.bin,405329206.5205687
87,87,0000087.bin,34198352.184831664
88,88,0000088.bin,309693041.3426056
89,89,0000089.bin,147250941.25006166
90,90,0000090.bin,75685243.80184397
91,91,0000091.bin,48655072.0668122
92,92,0000092.bin,53775524.65917072
93,93,0000093.bin,
94,94,0000094.bin,67638601.2194719
95,95,0000095.bin,134898277.16264424
96,96,0000096.bin,23710842.399497915
97,97,0000097.bin,109088876.04822382
98,98,0000098.bin,54507238.46818725
99,99,0000099.bin,
100,100,0000100.bin,206024791.8939678
101,101,0000101.bin,42664163.187367894
102,102,0000102.bin,499761677.2760097
103,103,0000103.bin,156687328.549218
104,104,0000104.bin,62854647.61318128
105,105,0000105.bin,282916318.02926767
106,106,0000106.bin,19782604.775460284
107,107,0000107.bin,94138068.36027326
108,108,0000108.bin,14469579.882161641
109,109,0000109.bin,78175668.05966295
110,110,0000110.bin,308767786.2120412
