,Unnamed: 0,runstring,t
0,0,0000000.bin,89661175.24578494
1,1,0000001.bin,8655400.959849605
2,2,0000002.bin,144888789.02165872
3,3,0000003.bin,65529573.22344011
4,4,0000004.bin,9822754.677483972
5,5,0000005.bin,
6,6,0000006.bin,43719528.35569084
7,7,0000007.bin,3407302.9543876695
8,8,0000008.bin,
9,9,0000009.bin,524635352.15639985
10,10,0000010.bin,
11,11,0000011.bin,23134756.164753657
12,12,0000012.bin,221029693.26301745
13,13,0000013.bin,
14,14,0000014.bin,73974412.36405338
15,15,0000015.bin,
16,16,0000016.bin,135205558.32742608
17,17,0000017.bin,40990409.97992948
18,18,0000018.bin,
19,19,0000019.bin,
20,20,0000020.bin,9761826.080294434
21,21,0000021.bin,
22,22,0000022.bin,931703163.8859452
23,23,0000023.bin,
24,24,0000024.bin,
25,25,0000025.bin,
26,26,0000026.bin,
27,27,0000027.bin,9354810.51053091
28,28,0000028.bin,
29,29,0000029.bin,17238575.655455627
30,30,0000030.bin,89984120.79778594
31,31,0000031.bin,10101572.085538892
32,32,0000032.bin,4706612.623006121
33,33,0000033.bin,
34,34,0000034.bin,370817790.12137806
35,35,0000035.bin,
36,36,0000036.bin,
37,37,0000037.bin,
38,38,0000038.bin,14048886.56311727
39,39,0000039.bin,16530814.576662242
40,40,0000040.bin,15966631.932820441
41,41,0000041.bin,11001911.294555184
42,42,0000042.bin,32032764.0951454
43,43,0000043.bin,12425448.025546435
44,44,0000044.bin,169321270.76330647
45,45,0000045.bin,12028067.725281266
46,46,0000046.bin,46707168.772244744
47,47,0000047.bin,10216301.92370474
48,48,0000048.bin,
49,49,0000049.bin,24688846.54819293
50,50,0000050.bin,10201904.844448537
51,51,0000051.bin,55999830.34345171
52,52,0000052.bin,
53,53,0000053.bin,17181810.686707575
54,54,0000054.bin,
55,55,0000055.bin,110176325.53904498
56,56,0000056.bin,12442886.778394135
57,57,0000057.bin,69146451.01609194
58,58,0000058.bin,1320210409.175879
59,59,0000059.bin,
60,60,0000060.bin,
61,61,0000061.bin,236142612.65116677
62,62,0000062.bin,
63,63,0000063.bin,
64,64,0000064.bin,25174386.814560186
