,Unnamed: 0,runstring,t
0,0,0000000.bin,74203784.0653078
1,1,0000001.bin,24092373.853202797
2,2,0000002.bin,4930897.87234276
3,3,0000003.bin,42100087.39761685
4,4,0000004.bin,8852531.335856324
5,5,0000005.bin,
6,6,0000006.bin,3996148.159781679
7,7,0000007.bin,15647659.202154674
8,8,0000008.bin,22838718.376616053
9,9,0000009.bin,69252437.53070267
10,10,0000010.bin,
11,11,0000011.bin,47225860.10809174
12,12,0000012.bin,6120915.424045435
13,13,0000013.bin,126538657.29989976
14,14,0000014.bin,8861296.792739898
15,15,0000015.bin,
16,16,0000016.bin,4750064.187397649
17,17,0000017.bin,21244698.87948252
18,18,0000018.bin,662105128.3994809
19,19,0000019.bin,
20,20,0000020.bin,6939052.474248998
21,21,0000021.bin,994714947.4120512
22,22,0000022.bin,32798792.87961333
23,23,0000023.bin,
24,24,0000024.bin,
25,25,0000025.bin,
26,26,0000026.bin,866884547.2524229
27,27,0000027.bin,17724302.741076127
28,28,0000028.bin,
29,29,0000029.bin,7103064.104970843
30,30,0000030.bin,3425664.846527467
31,31,0000031.bin,8759834.796719404
32,32,0000032.bin,7141106.510020855
33,33,0000033.bin,
34,34,0000034.bin,66535913.459210575
35,35,0000035.bin,
36,36,0000036.bin,413780238.15112555
37,37,0000037.bin,
38,38,0000038.bin,64008950.973265745
39,39,0000039.bin,9152109.4672307
40,40,0000040.bin,28542332.82240672
41,41,0000041.bin,7793553.953771071
42,42,0000042.bin,52578917.42177125
43,43,0000043.bin,9080610.810815161
44,44,0000044.bin,24455612.06792251
45,45,0000045.bin,88339675.25022554
46,46,0000046.bin,57470595.22718031
47,47,0000047.bin,8875901.287139598
48,48,0000048.bin,
49,49,0000049.bin,15308112.915047685
50,50,0000050.bin,11373088.079450712
51,51,0000051.bin,17855997.418641455
52,52,0000052.bin,65533913.26869937
53,53,0000053.bin,23780418.77269491
54,54,0000054.bin,
55,55,0000055.bin,36643443.671454735
56,56,0000056.bin,71475420.90984392
57,57,0000057.bin,36408939.6221131
58,58,0000058.bin,18981125.12999638
59,59,0000059.bin,1266212074.077561
60,60,0000060.bin,129907540.9559218
61,61,0000061.bin,23718300.607017223
62,62,0000062.bin,
63,63,0000063.bin,
64,64,0000064.bin,11207105.61905816
65,65,0000065.bin,8888521.920028917
66,66,0000066.bin,62387606.52506009
67,67,0000067.bin,12531236.059757993
68,68,0000068.bin,
69,69,0000069.bin,1459729798.635969
70,70,0000070.bin,
71,71,0000071.bin,
72,72,0000072.bin,
73,73,0000073.bin,
74,74,0000074.bin,20192068.481462687
75,75,0000075.bin,
76,76,0000076.bin,48787828.21577274
77,77,0000077.bin,27676233.963269662
78,78,0000078.bin,
79,79,0000079.bin,50091344.87686084
80,80,0000080.bin,30430648.95819366
81,81,0000081.bin,7172928.818707743
82,82,0000082.bin,
83,83,0000083.bin,
84,84,0000084.bin,7179235.181569644
85,85,0000085.bin,
86,86,0000086.bin,
87,87,0000087.bin,
88,88,0000088.bin,67502133.8985483
89,89,0000089.bin,
90,90,0000090.bin,
91,91,0000091.bin,
92,92,0000092.bin,6979095.870210407
93,93,0000093.bin,
94,94,0000094.bin,79686304.95901074
95,95,0000095.bin,7113891.438690751
