,Unnamed: 0,runstring,t
0,0,0000000.bin,5148143.905420903
1,1,0000001.bin,5175636.0850379495
2,2,0000002.bin,5188029.26089236
3,3,0000003.bin,4839877.785374479
4,4,0000004.bin,5465699.740607061
5,5,0000005.bin,5221643.203652762
6,6,0000006.bin,5053980.206163941
7,7,0000007.bin,5204420.743213923
8,8,0000008.bin,5207929.047426162
9,9,0000009.bin,5169756.202214606
10,10,0000010.bin,10070902.937182069
11,11,0000011.bin,5134923.080063614
12,12,0000012.bin,5107091.65776744
13,13,0000013.bin,5082925.262597156
14,14,0000014.bin,4968006.943944609
15,15,0000015.bin,5991536.851051648
16,16,0000016.bin,5122880.5197015125
17,17,0000017.bin,5201311.180449597
18,18,0000018.bin,4961225.765707907
19,19,0000019.bin,6854871.608479911
20,20,0000020.bin,5094232.404630285
21,21,0000021.bin,5276821.802211316
22,22,0000022.bin,5354343.054019184
23,23,0000023.bin,5038732.316082809
24,24,0000024.bin,5126249.645657005
25,25,0000025.bin,5029220.275440579
26,26,0000026.bin,5074950.910325638
27,27,0000027.bin,5180627.917634755
28,28,0000028.bin,7731953.876416109
29,29,0000029.bin,5143791.377016112
30,30,0000030.bin,5162493.690476062
31,31,0000031.bin,5367018.192411075
32,32,0000032.bin,5050322.113236189
33,33,0000033.bin,5097012.849287297
34,34,0000034.bin,4984001.071287784
35,35,0000035.bin,5297544.176394605
36,36,0000036.bin,9655436.188502077
37,37,0000037.bin,5198176.652536789
38,38,0000038.bin,5566636.920651779
39,39,0000039.bin,5119782.884525809
40,40,0000040.bin,5049305.564527611
41,41,0000041.bin,5179861.223633054
42,42,0000042.bin,4987331.502379744
43,43,0000043.bin,5203215.849190526
44,44,0000044.bin,5632578.637698462
45,45,0000045.bin,5089793.470586022
46,46,0000046.bin,5134517.056338569
47,47,0000047.bin,5062237.839449777
48,48,0000048.bin,7008751.866134696
49,49,0000049.bin,5075627.315292731
50,50,0000050.bin,4883043.781217132
51,51,0000051.bin,5166963.552139948
52,52,0000052.bin,4873358.998646252
53,53,0000053.bin,11033762.729151877
54,54,0000054.bin,4989419.592388595
55,55,0000055.bin,4849790.3011527695
56,56,0000056.bin,5067121.837912485
57,57,0000057.bin,4917384.6824909905
58,58,0000058.bin,5374955.375445091
59,59,0000059.bin,5241155.621088022
60,60,0000060.bin,5169170.71039415
61,61,0000061.bin,5119253.978950148
62,62,0000062.bin,5018680.66046043
63,63,0000063.bin,4832201.691606335
64,64,0000064.bin,5196534.66848236
65,65,0000065.bin,5040278.255795381
66,66,0000066.bin,5120889.0292521985
67,67,0000067.bin,4947886.288625398
68,68,0000068.bin,5062275.841280044
69,69,0000069.bin,5011537.7019507745
70,70,0000070.bin,5220353.429167205
71,71,0000071.bin,5124883.0362316705
72,72,0000072.bin,5075623.501247285
73,73,0000073.bin,4874914.994027659
74,74,0000074.bin,5161691.56045545
75,75,0000075.bin,5250073.709656195
76,76,0000076.bin,6732133.163099233
77,77,0000077.bin,11391731.517417796
78,78,0000078.bin,5063474.008707978
79,79,0000079.bin,4886870.524634943
80,80,0000080.bin,6313285.232898219
81,81,0000081.bin,4776802.432753444
82,82,0000082.bin,5058125.874204658
83,83,0000083.bin,4986304.620613694
84,84,0000084.bin,4986681.657098929
85,85,0000085.bin,5042938.17637055
86,86,0000086.bin,5338932.823530529
87,87,0000087.bin,6811181.075876978
88,88,0000088.bin,5052587.7998657115
89,89,0000089.bin,5234070.844674633
90,90,0000090.bin,5031455.449649362
91,91,0000091.bin,5075005.832689806
92,92,0000092.bin,5121813.347221415
93,93,0000093.bin,5072263.528562765
