,Unnamed: 0,runstring,t
0,0,0000000.bin,1688117.8408018276
1,1,0000001.bin,5051536.230776776
2,2,0000002.bin,1706929.4439053338
3,3,0000003.bin,1501280.2110264204
4,4,0000004.bin,4841246.545025986
5,5,0000005.bin,527287.9106269554
6,6,0000006.bin,4965500.5563397445
7,7,0000007.bin,5032007.377307685
8,8,0000008.bin,3902307.336630587
9,9,0000009.bin,4121318.1691729487
10,10,0000010.bin,610019.0211753575
11,11,0000011.bin,4415785.670510858
12,12,0000012.bin,1607194.6607327687
13,13,0000013.bin,4871876.442004362
14,14,0000014.bin,5483822.179317102
15,15,0000015.bin,3855474.5789291584
16,16,0000016.bin,4816524.893044116
17,17,0000017.bin,5117898.672988973
18,18,0000018.bin,2761053.199869347
19,19,0000019.bin,6344306.451274607
20,20,0000020.bin,2059965.5448244666
21,21,0000021.bin,3657167.9511248735
22,22,0000022.bin,3771241.146989819
23,23,0000023.bin,4482050.126684129
24,24,0000024.bin,2882449.7936863014
25,25,0000025.bin,5075497.221411432
26,26,0000026.bin,5200775.340673646
27,27,0000027.bin,7790846.322858752
28,28,0000028.bin,4343413.39072828
29,29,0000029.bin,5183998.292273663
30,30,0000030.bin,5107338.808400123
31,31,0000031.bin,5341501.553567875
32,32,0000032.bin,4950229.1573804775
33,33,0000033.bin,2031174.1598626235
34,34,0000034.bin,2792149.6595279253
35,35,0000035.bin,4767989.127064845
36,36,0000036.bin,1818131.5585169885
37,37,0000037.bin,3749324.211549587
38,38,0000038.bin,5010503.885542715
39,39,0000039.bin,3575044.038195473
40,40,0000040.bin,4778169.528049979
41,41,0000041.bin,4832663.400061858
42,42,0000042.bin,4792185.895525284
43,43,0000043.bin,1544197.8078035992
44,44,0000044.bin,614134.2457241146
45,45,0000045.bin,4618437.05682441
46,46,0000046.bin,4772074.047198986
47,47,0000047.bin,5047328.98307574
48,48,0000048.bin,601775.1183936191
49,49,0000049.bin,5623776.358536232
50,50,0000050.bin,6594805.826217393
51,51,0000051.bin,9338666.733192435
52,52,0000052.bin,1982342.4225999413
53,53,0000053.bin,3828869.9637671458
54,54,0000054.bin,1807207.9718943548
55,55,0000055.bin,4134095.4550114684
56,56,0000056.bin,5044992.772102993
57,57,0000057.bin,4242030.243827978
58,58,0000058.bin,4991811.003636738
59,59,0000059.bin,615230.9593501268
60,60,0000060.bin,4445511.984149108
61,61,0000061.bin,3818059.4117311626
62,62,0000062.bin,5441692.70391098
63,63,0000063.bin,4055673.9474193007
64,64,0000064.bin,4720910.60628755
65,65,0000065.bin,4644544.804055231
66,66,0000066.bin,1002123.7846045251
67,67,0000067.bin,4883973.369958049
68,68,0000068.bin,547834.4922278569
69,69,0000069.bin,2906546.2181896316
70,70,0000070.bin,4157107.7180955196
71,71,0000071.bin,2060938.8213724364
72,72,0000072.bin,3977233.6459828955
73,73,0000073.bin,5448957.227167101
74,74,0000074.bin,5150043.99684776
75,75,0000075.bin,4292114.793643843
76,76,0000076.bin,3352565.8148483247
77,77,0000077.bin,4456045.843835615
78,78,0000078.bin,3550302.4141101874
79,79,0000079.bin,4102551.8496401254
80,80,0000080.bin,7192726.38906026
81,81,0000081.bin,3880497.0555302477
82,82,0000082.bin,2948717.509569179
83,83,0000083.bin,4379774.630552226
84,84,0000084.bin,1881809.04603621
85,85,0000085.bin,4058699.6010500644
86,86,0000086.bin,4515072.752087299
87,87,0000087.bin,2058782.8416472394
88,88,0000088.bin,4779830.99889074
89,89,0000089.bin,560810.3861248011
90,90,0000090.bin,3203672.4637391795
91,91,0000091.bin,4812604.185226609
92,92,0000092.bin,5006656.130160038
93,93,0000093.bin,3827913.8153322022
94,94,0000094.bin,1158939.4776648858
95,95,0000095.bin,5207210.895915874
96,96,0000096.bin,3344576.552102313
97,97,0000097.bin,1094501.398138663
98,98,0000098.bin,4803533.535423696
99,99,0000099.bin,3309715.4139789897
100,100,0000100.bin,7167872.077860713
101,101,0000101.bin,519103.64668054215
102,102,0000102.bin,5012139.975593774
103,103,0000103.bin,407836.34624818916
104,104,0000104.bin,5417500.304306483
105,105,0000105.bin,5501823.60760049
106,106,0000106.bin,626854.0428110404
107,107,0000107.bin,2237443.0034837266
108,108,0000108.bin,4820793.02685662
109,109,0000109.bin,1625289.7770852265
110,110,0000110.bin,4179206.202423458
111,111,0000111.bin,4964630.397475913
112,112,0000112.bin,4820835.813600283
113,113,0000113.bin,4765912.687254343
114,114,0000114.bin,3759231.4566568746
115,115,0000115.bin,7027055.298100123
116,116,0000116.bin,2181945.4111160864
117,117,0000117.bin,4955605.3771754475
118,118,0000118.bin,5242868.408736839
119,119,0000119.bin,2277176.8380173594
120,120,0000120.bin,378709.18587388465
121,121,0000121.bin,3767929.09260576
122,122,0000122.bin,6049863.499609833
123,123,0000123.bin,5969617.350075813
124,124,0000124.bin,4978060.371152707
125,125,0000125.bin,3844049.4789230293
126,126,0000126.bin,3591328.310680715
127,127,0000127.bin,4868860.150180708
128,128,0000128.bin,4748217.006847905
129,129,0000129.bin,5853654.119146358
130,130,0000130.bin,525287.6131555376
131,131,0000131.bin,4353258.016352155
