,j,k,m1,m2,n1,n2,acosl1,asinl1,acosl2,asinl2,k1,h1,k2,h2
1,11.0,1.0,1.24440162459276e-05,2.531701779802877e-07,3.406264592525528,3.1213255608381356,-0.06910187220909886,1.5024846718853209,-1.2118409747143202,1.0359132524808026,0.04136978390960896,-0.00716342671032666,0.027415521869871017,0.02051528093765677
4,11.0,1.0,3.984904160680741e-06,1.24440162459276e-05,6.2830903612642715,3.406264592525528,-0.9829360260178492,-0.18400249253867912,-0.06910187220909886,1.5024846718853209,2.192356241865782e-05,-0.00017486985289631393,0.04136978390960896,-0.00716342671032666
5,5.0,1.0,3.984904160680741e-06,1.24440162459276e-05,6.2830903612642715,3.406264592525528,-0.9829360260178492,-0.18400249253867912,-0.06910187220909886,1.5024846718853209,2.192356241865782e-05,-0.00017486985289631393,0.04136978390960896,-0.00716342671032666
7,13.0,2.0,1.24440162459276e-05,2.531701779802877e-07,3.406264592525528,3.1213255608381356,-0.06910187220909886,1.5024846718853209,-1.2118409747143202,1.0359132524808026,0.04136978390960896,-0.00716342671032666,0.027415521869871017,0.02051528093765677
10,11.0,2.0,3.984904160680741e-06,1.24440162459276e-05,6.2830903612642715,3.406264592525528,-0.9829360260178492,-0.18400249253867912,-0.06910187220909886,1.5024846718853209,2.192356241865782e-05,-0.00017486985289631393,0.04136978390960896,-0.00716342671032666
11,9.0,2.0,1.24440162459276e-05,2.531701779802877e-07,3.406264592525528,3.1213255608381356,-0.06910187220909886,1.5024846718853209,-1.2118409747143202,1.0359132524808026,0.04136978390960896,-0.00716342671032666,0.027415521869871017,0.02051528093765677
12,6.0,1.0,3.984904160680741e-06,1.24440162459276e-05,6.2830903612642715,3.406264592525528,-0.9829360260178492,-0.18400249253867912,-0.06910187220909886,1.5024846718853209,2.192356241865782e-05,-0.00017486985289631393,0.04136978390960896,-0.00716342671032666
13,4.0,1.0,1.24440162459276e-05,2.531701779802877e-07,3.406264592525528,3.1213255608381356,-0.06910187220909886,1.5024846718853209,-1.2118409747143202,1.0359132524808026,0.04136978390960896,-0.00716342671032666,0.027415521869871017,0.02051528093765677
14,12.0,1.0,3.984904160680741e-06,1.24440162459276e-05,6.2830903612642715,3.406264592525528,-0.9829360260178492,-0.18400249253867912,-0.06910187220909886,1.5024846718853209,2.192356241865782e-05,-0.00017486985289631393,0.04136978390960896,-0.00716342671032666
16,12.0,1.0,1.24440162459276e-05,2.531701779802877e-07,3.406264592525528,3.1213255608381356,-0.06910187220909886,1.5024846718853209,-1.2118409747143202,1.0359132524808026,0.04136978390960896,-0.00716342671032666,0.027415521869871017,0.02051528093765677
17,10.0,1.0,3.984904160680741e-06,1.24440162459276e-05,6.2830903612642715,3.406264592525528,-0.9829360260178492,-0.18400249253867912,-0.06910187220909886,1.5024846718853209,2.192356241865782e-05,-0.00017486985289631393,0.04136978390960896,-0.00716342671032666
19,7.0,1.0,3.984904160680741e-06,1.24440162459276e-05,6.2830903612642715,3.406264592525528,-0.9829360260178492,-0.18400249253867912,-0.06910187220909886,1.5024846718853209,2.192356241865782e-05,-0.00017486985289631393,0.04136978390960896,-0.00716342671032666
20,13.0,1.0,1.24440162459276e-05,2.531701779802877e-07,3.406264592525528,3.1213255608381356,-0.06910187220909886,1.5024846718853209,-1.2118409747143202,1.0359132524808026,0.04136978390960896,-0.00716342671032666,0.027415521869871017,0.02051528093765677
