,Zcosphi,Zsinphi,Zcomcosphi,Zcomsinphi,Zstarcostheta,Zstarsintheta,dKprimecostheta1,dKprimesintheta1
1,-0.054414082263256676,0.028637931341225057,0.00997144652199526,-0.003818605002944332,-0.0018679804616405398,0.05583874017395034,0.0002572773526558633,-6.912172336911161e-06
4,-0.010741404326946388,0.01389013136079937,-0.019605080991591018,0.03465078291070496,-0.009856051728035383,-0.02174603479900731,-0.00036243088134653835,0.00015695328449038954
5,0.02620226710111351,0.01282189737930539,0.014104200943582347,-0.04381216730645414,0.00010102183405987215,-7.334506047381219e-05,0.000507472162563782,0.00849259436633262
7,-0.01369210952654605,-0.0015833990681652843,0.013535521865819395,-0.00693526750068819,,,0.004445120876941879,-0.0006450357141538167
10,-0.05373010982073784,0.018821636293706874,-0.06476394243771381,-0.05139259045201379,-0.06524573117304344,-0.011115050364296346,-0.004238352738629286,0.0015938858099302366
11,-0.029257927488613115,0.0108591051431104,0.014375029112594475,-0.037967205955383616,,,0.0014659766382644792,-0.00041730411162741734
12,-0.0024034957989052435,-0.006143772521927616,0.002201012036735002,-0.009491411903117246,-0.0010860079212586288,0.0007036030785311157,0.001391779785079411,-0.00021864912493052053
13,-0.030817043155974354,0.03224309757155751,0.017154763431402095,0.04128920975850356,0.0738290008584848,0.00978811280699507,-0.004338796259273169,-0.0034604649191037062
14,-0.006344879920825216,-0.0037678120439138293,-0.0029122048546937366,0.0013000953021706117,-0.017340398886994103,-0.008140814881706787,-0.002819944039003803,-5.144419181862107e-05
16,-0.002274077754782428,-0.00022645336127923035,0.000832969938103402,0.0047246852578514435,-0.00019906717499270678,-3.6916855747650106e-06,0.0016335608927218416,-0.000684513258199312
17,-0.008827447757281372,-0.006847150543698862,-0.0017499292214277673,-0.007048402321918562,0.03430753898304543,0.005800917766989412,-0.00944370438688838,0.003170813810333457
19,-0.06341850784504517,0.043828060731941655,0.035574200033558274,0.02487985193350203,-0.05845983145766245,0.027701527924427788,0.00918051722693753,0.0016636137118438126
20,0.00173322523897548,-0.0014600115916131421,-0.0013020156258429217,0.00026793079202085997,0.023235344027377394,-0.001226913757856253,-0.0051376854833296735,0.0006740921753194814
23,0.017760739753532408,0.009179018079753375,0.005288544430976018,-0.011847789480048878,0.02904586824856024,-0.01785969537479475,-0.008808979349703578,0.0004215709974063321
24,-0.06735044963704123,0.00020980131765923504,0.027429233150425215,-0.01135833243647978,0.053150045201631406,-0.041084834588200725,7.2310979771859e-05,5.1169187825438746e-05
25,-0.0005844490420437252,0.002657887268439106,-0.0008455305404961405,-0.0017298098764106686,-0.012460453795998895,-0.008633998151309155,-0.0005553017057644985,0.00021090491548312888
26,-0.009562630296823053,-0.05124318264215418,0.01452735628734777,0.06316508427046989,-0.07895341409367905,0.037618971033960086,-0.0006001854218670471,2.1925720849006524e-05
27,0.008030869434675096,0.0006940171595348085,-0.004319170544014171,0.006262599358420853,-0.006811199189614655,0.009252767083638607,5.8264464821919456e-05,3.595089854509806e-05
28,-0.003573671886254716,0.013199760161708552,0.0116472071540237,0.014024093001011463,-0.00017728262712854496,8.344653426822863e-05,0.00659654654843961,0.0016667464165293295
30,0.006762218576482087,0.004375205793426291,0.014990556021755036,-0.0012146243926549056,0.00011847745456233304,-3.378470635208099e-05,0.004200495945485248,-0.0003316988302697074
31,-0.03983698924635265,0.0005404446816244614,0.013106181613110524,0.008788153890438338,-0.008955830271487197,-0.040343395795518336,-0.0001619216836260961,3.6176577116142365e-05
33,-0.0022584076003817986,0.004345131921508112,0.004773986722946314,0.0038612766129683487,0.020534845581331316,-0.0038356556331642063,-0.00031654443018244905,-5.0623713145728214e-05
34,-0.031627753382599426,-0.0004525361763390008,0.0027597037327550386,0.0004603837590185569,-0.004063972583897361,0.02750710639202329,0.0005875276216395852,9.084390644677387e-05
35,-0.02770203468069765,0.0007878557947780665,0.0022137953381197065,-0.07193227469810833,0.007901688491424825,-0.02661285252145484,0.0001104534693022779,-2.8009650814661232e-05
36,0.002681200207238597,-0.018416581495249974,-0.008363194059345594,-0.006628970395740754,0.028164988492094284,-0.026999353895696965,-0.0001706130086382304,0.0001609141885109578
37,-0.003944861858866991,-0.004459353019303191,-0.000901168118467659,-6.949930956083833e-05,0.003944221158700916,0.015872517763821266,-0.00013205612584485342,1.1598344317046888e-07
39,0.003636486590024472,0.009138806583126187,-0.003708159726692191,0.00417578724673813,-0.036471547245257654,0.03003184158718858,-0.005272473461935216,-0.007646808503553157
41,0.0033421540226813893,0.00035148077892535324,-4.311464397446502e-05,-3.5720559526175985e-05,-0.0006309000324213385,-0.00024585114079134115,0.00010070692129492461,-6.333334531328858e-05
42,-0.06318627047621227,0.04197460162154666,0.0539644009889582,0.01092207715905918,0.06460593567271618,-0.040850376973249156,-9.230441621152831e-06,1.6907893573476306e-06
43,0.0006782166536315496,-0.015027822869517312,-0.043670252995168565,-0.01652262000502351,,,0.0030079546830985974,-0.0014845432764492453
45,0.0010003278801192694,0.0016128808788410903,0.0033586291093524938,0.003064091283635191,0.0016147855387779184,-0.009276596366180646,-4.8925975521347516e-05,-7.079014975625887e-06
46,0.03745815608024549,0.03707068291222919,-0.001346010659951428,-0.0013395793837391212,0.00383740318388292,-0.05181083310187094,1.8309141686419176e-05,-3.842828001864247e-06
49,0.00826090551845399,-0.008558057409913895,-0.003165391179369173,0.01931694270793781,-0.009475813630722257,0.02265630146614915,-0.0006752582979891456,-0.00018668483217226356
50,-0.031001375438451884,0.015801801233833714,0.004444289069923782,0.027450524332420904,0.014642842018216484,-0.003834927203945245,0.007949821121124488,-0.00032108814440985547
53,0.0033190257485904485,0.007011092620606732,-0.00010951091439684367,0.004239221260699581,-0.0035809223489388434,-0.025175213184530712,-0.005082883890292705,-0.0014729719455948017
54,0.03787673600933885,-0.015484503490631506,0.007555866631674427,-0.0026263358895687863,0.0010733162534834204,-0.0009245413427945589,8.050109982917126e-05,-0.0010585460047180175
55,0.03405996183541779,0.04252172557913888,0.1158024231388843,-0.04600998339759756,-0.0091000340461399,0.03817336423355539,0.0006784839669977704,0.00020718661766471535
57,-0.0589185931549986,-0.008667805613041759,0.025532829037084852,-0.006378958006353954,0.006900921026250647,-0.05946242001330402,-0.00024228697302512125,6.424017725549097e-06
58,0.09878897065937683,-0.03183343412830913,0.06324678304712386,-0.16872540346783535,-0.005137671121346797,0.10779322386978749,1.8012783227223602e-06,1.7644170645364637e-06
59,-0.05479886299675106,0.0008210897897671046,0.1814060280987677,0.012070775900982367,-0.009682554334019051,0.05350614866789126,0.00020544750268175488,-0.00010821308300220186
60,-0.1791691454255562,-0.0023497694274630405,-0.04431611710532228,0.09158231494257471,0.14845299515890564,0.10276172289993686,-1.7707647496146423e-05,-4.977658850648395e-06
61,0.001283133433938111,0.015463713827961047,-0.013893079386602579,0.016931889669644797,0.026993451836322523,0.00165243112327166,-0.002303293588644337,-0.0020330825078221
62,-0.00940781565636583,-0.013611022943494824,-0.011855525333188538,0.006950624564272386,-0.024061130626773564,-0.004084487299598198,-0.0010712866489738895,-0.0002608429611881667
63,-0.008612158372613457,0.0009552512643270451,0.016584843191067886,-0.005427008723030446,-0.008254906869613055,-0.0034979494936031833,5.405582293787233e-06,-5.829290885653523e-07
66,-0.01873046254023359,-0.02375739973947437,-0.01786573829825961,-0.04531759003137841,-0.025373743065444432,0.05640705845504084,-0.008105855554595682,-0.005596813533512609
67,-0.0424801348750886,0.005450665662893717,0.06373242397812387,-0.035322642200615206,-0.000636075031030909,-0.03996634380272651,0.001173162866756719,-0.00014165484557441445
69,-0.022485625991111414,0.0048984352185605234,-0.0040850796834707185,0.0053015120454536786,0.0011535158865201424,0.0049014919604104985,0.0008961491638765863,-0.00024404585705364572
71,-0.007940951546103834,-0.007010626483902757,-0.009947085389171497,0.0036065823254794365,,,0.007074165509640635,-0.0014150927969688583
72,-0.03475541396497685,0.03268410122933293,-0.028823598572284923,0.05169499136101403,0.041736336939922784,-0.03998642274052937,-0.004253569406065509,9.950507779935374e-06
73,-0.007431427948966819,-0.0002787531468611904,0.0034831555675434423,0.009321375424671841,,,0.00018968849778763162,-2.5243708692607368e-05
