,Unnamed: 0,runstring,t,t_shadow
4,4,0000004.bin,87.9188765432,87.9188765432
6,6,0000006.bin,149.300988799,149.300988799
8,8,0000008.bin,0.831384188616,0.831384188616
9,9,0000009.bin,105.724251825,105.724251825
12,12,0000012.bin,9.28378001436,9.28378001436
19,19,0000019.bin,8.279158363,8.279158363
20,20,0000020.bin,5.4038577246,5.4038577246
23,23,0000023.bin,293.781716518,293.781716518
50,50,0000050.bin,105.239243478,105.239243478
59,59,0000059.bin,28.4402675698,28.4402675698
64,64,0000064.bin,11.8125706664,11.8125706664
83,83,0000083.bin,7.17067930259,7.17067930259
86,86,0000086.bin,121.9349325,121.9349325
98,98,0000098.bin,29.9298204051,29.9298204051
107,107,0000107.bin,64.1205033002,64.1205033002
116,116,0000116.bin,7.7941151836,7.7941151836
127,127,0000127.bin,2.6673580622,2.6673580622
145,145,0000145.bin,6.99734226593,6.99734226593
148,148,0000148.bin,19.6067992239,19.6067992239
162,162,0000162.bin,22.0316846759,22.0316846759
165,165,0000165.bin,174.971762754,174.971762754
166,166,0000166.bin,96.1980853221,96.1980853221
175,175,0000175.bin,329.574273829,329.574273829
212,212,0000212.bin,49.4326918736,49.4326918736
235,235,0000235.bin,4.43404763391,4.43404763391
237,237,0000237.bin,17.112598903,17.112598903
239,239,0000239.bin,112.964340844,112.964340844
250,250,0000250.bin,29.7566112358,29.7566112358
255,255,0000255.bin,16.6623275481,16.6623275481
256,256,0000256.bin,40.3220837714,40.3220837714
261,261,0000261.bin,23.0362527513,23.0362527513
265,265,0000265.bin,511.433112267,511.433112267
277,277,0000277.bin,0.900643627691,0.900643627691
285,285,0000285.bin,44.3057372377,44.3057372377
290,290,0000290.bin,40.2874162325,40.2874162325
297,297,0000297.bin,9.87267099454,9.87267099454
315,315,0000315.bin,68.1041799391,68.1041799391
322,322,0000322.bin,24.4906872438,24.4906872438
330,330,0000330.bin,39.0043934652,39.0043934652
337,337,0000337.bin,21.2349386193,21.2349386193
342,342,0000342.bin,207.915354996,207.915354996
345,345,0000345.bin,436.541608705,436.541608705
355,355,0000355.bin,8.93738082534,8.93738082534
360,360,0000360.bin,18.497771074,18.497771074
362,362,0000362.bin,118.26324432,118.26324432
363,363,0000363.bin,28.0242746309,28.0242746309
383,383,0000383.bin,23.5904902843,23.5904902843
417,417,0000417.bin,8.4175055471,8.4175055471
424,424,0000424.bin,11.1543802129,11.1543802129
429,429,0000429.bin,81.4061406928,81.4061406928
431,431,0000431.bin,57.2939496246,57.2939496246
434,434,0000434.bin,53.866747314,53.866747314
435,435,0000435.bin,162.1473292,162.1473292
450,450,0000450.bin,3.11769115036,3.11769115036
463,463,0000463.bin,139.533984529,139.533984529
475,475,0000475.bin,72.1888567583,72.1888567583
478,478,0000478.bin,5.19594961652,5.19594961652
483,483,0000483.bin,33.0128243051,33.0128243051
485,485,0000485.bin,245.396926155,245.396926155
492,492,0000492.bin,11.7777918066,11.7777918066
518,518,0000518.bin,122.65981123,122.65981123
522,522,0000522.bin,4.36476766452,4.36476766452
528,528,0000528.bin,70.4936789467,70.4936789467
533,533,0000533.bin,61.52240292,61.52240292
543,543,0000543.bin,87.5710035047,87.5710035047
548,548,0000548.bin,4.12213019765,4.12213019765
550,550,0000550.bin,6.02743714569,6.02743714569
551,551,0000551.bin,421.026186298,421.026186298
558,558,0000558.bin,141.05170612,141.05170612
560,560,0000560.bin,12.0895988637,12.0895988637
562,562,0000562.bin,57.9885921342,57.9885921342
563,563,0000563.bin,15.2766600055,15.2766600055
569,569,0000569.bin,28.6826580779,28.6826580779
576,576,0000576.bin,282.875760875,282.875760875
577,577,0000577.bin,3.39481704373,3.39481704373
578,578,0000578.bin,24.2484745022,24.2484745022
581,581,0000581.bin,87.8836593759,87.8836593759
594,594,0000594.bin,33.4285766015,33.4285766015
595,595,0000595.bin,105.511474883,105.511474883
601,601,0000601.bin,47.9085162719,47.9085162719
605,605,0000605.bin,184.428739689,184.428739689
620,620,0000620.bin,301.099641931,301.099641931
628,628,0000628.bin,6.3045292567,6.3045292567
635,635,0000635.bin,24.2140571124,24.2140571124
647,647,0000647.bin,14.9298911054,14.9298911054
655,655,0000655.bin,701.331913287,701.331913287
656,656,0000656.bin,14.2027461247,14.2027461247
659,659,0000659.bin,246.503628332,246.503628332
660,660,0000660.bin,39.4214741768,39.4214741768
661,661,0000661.bin,224.778795295,224.778795295
678,678,0000678.bin,288.247864635,288.247864635
685,685,0000685.bin,10.0458907604,10.0458907604
712,712,0000712.bin,151.970080934,151.970080934
714,714,0000714.bin,30.760900803,30.760900803
724,724,0000724.bin,188.650988313,188.650988313
726,726,0000726.bin,57.0537360121,57.0537360121
740,740,0000740.bin,36.0265612886,36.0265612886
742,742,0000742.bin,107.837388425,107.837388425
743,743,0000743.bin,11.3275409245,11.3275409245
744,744,0000744.bin,40.0103567487,40.0103567487
745,745,0000745.bin,72.2611431105,72.2611431105
749,749,0000749.bin,149.751681862,149.751681862
763,763,0000763.bin,11.5007754692,11.5007754692
769,769,0000769.bin,118.645473897,118.645473897
772,772,0000772.bin,59.6518236725,59.6518236725
780,780,0000780.bin,50.3333863316,50.3333863316
782,782,0000782.bin,56.3952875212,56.3952875212
784,784,0000784.bin,87.7456066896,87.7456066896
793,793,0000793.bin,13.4059064456,13.4059064456
799,799,0000799.bin,18.6364767565,18.6364767565
804,804,0000804.bin,35.6801978792,35.6801978792
812,812,0000812.bin,15.3113281884,15.3113281884
814,814,0000814.bin,116.289522001,116.289522001
