,runstring,instability_time,shadow_instability_time,Stable
0,0000000.bin,12356442.121674882,83150808.64457683,False
1,0000001.bin,134874.88323432917,213307.15687971358,False
2,0000002.bin,12763.80811804577,9321.518810854792,False
3,0000003.bin,1000000000.0,1000000000.0,True
4,0000004.bin,87.91887654323433,87.91887654323433,False
5,0000005.bin,1000000000.0,1000000000.0,True
6,0000006.bin,149.3009887990262,149.3009887990262,False
7,0000007.bin,521.1392029631098,321.0527873612446,False
8,0000008.bin,0.8313841886164649,0.8313841886164649,False
9,0000009.bin,105.72425182482236,105.72425182482236,False
10,0000010.bin,1000000000.0,1000000000.0,True
11,0000011.bin,1000000000.0,1000000000.0,True
12,0000012.bin,9.283780014358035,9.283780014358035,False
13,0000013.bin,1000000000.0,1000000000.0,True
14,0000014.bin,1000000000.0,1000000000.0,True
15,0000015.bin,13946.756006675745,920.1331261970391,False
16,0000016.bin,1000000000.0,1000000000.0,True
17,0000017.bin,1000000000.0,1000000000.0,True
18,0000018.bin,1000000000.0,1000000000.0,True
19,0000019.bin,8.279158362997256,8.279158362997256,False
20,0000020.bin,5.403857724598916,5.403857724598916,False
21,0000021.bin,359024.21565093426,646731.3886806252,False
22,0000022.bin,2025537.2044145511,311291.66600105446,False
23,0000023.bin,293.78171651806736,293.78171651806736,False
24,0000024.bin,27242568.153667014,1338897.0673322624,False
25,0000025.bin,370834.04441826604,671974.8801820788,False
26,0000026.bin,406.3009328396048,344.15549217848695,False
27,0000027.bin,236.11212478022279,287.3806025787397,False
28,0000028.bin,33746.40822858024,41949.19211285327,False
29,0000029.bin,1136.0842611081152,1157.9773350506857,False
30,0000030.bin,7581212.363218037,1985338.8646626135,False
31,0000031.bin,26710.958639536937,52379.15346770481,False
32,0000032.bin,1000000000.0,1000000000.0,True
33,0000033.bin,1000000000.0,1000000000.0,True
34,0000034.bin,32685756.520657457,10944536.04407709,False
35,0000035.bin,291881.6115978197,171401.7750676514,False
36,0000036.bin,1000000000.0,1000000000.0,True
37,0000037.bin,1000000000.0,1000000000.0,True
38,0000038.bin,192.39540647245593,337.2981765973288,False
39,0000039.bin,1000000000.0,1000000000.0,True
40,0000040.bin,1000000000.0,1000000000.0,True
41,0000041.bin,1000000000.0,1000000000.0,True
42,0000042.bin,55864.400031651916,10783.322608114575,False
43,0000043.bin,1000000000.0,1000000000.0,True
44,0000044.bin,30278.37040772847,26680.176443663513,False
45,0000045.bin,404.43373130297755,679.136899545884,False
46,0000046.bin,2308921.6835682862,74663.86726544375,False
47,0000047.bin,1000000000.0,1000000000.0,True
48,0000048.bin,230754179.19006944,129778734.34891383,False
49,0000049.bin,1000000000.0,1000000000.0,True
50,0000050.bin,105.239243477748,105.239243477748,False
51,0000051.bin,1000000000.0,1000000000.0,True
52,0000052.bin,1424720.0508443846,3997715.762652067,False
53,0000053.bin,1000000000.0,1000000000.0,True
54,0000054.bin,1000000000.0,1000000000.0,True
55,0000055.bin,1000000000.0,1000000000.0,True
56,0000056.bin,385.43535774588787,585.8257185405392,False
57,0000057.bin,547362.035910148,726856.35372268,False
58,0000058.bin,5325.8683175386695,350.5314742293894,False
59,0000059.bin,28.440267569757317,28.440267569757317,False
60,0000060.bin,5463264.217588435,4521304.999727379,False
61,0000061.bin,1000000000.0,1000000000.0,True
62,0000062.bin,57136.19406920773,51882.35089096142,False
63,0000063.bin,11625.373872910564,7813.619145680443,False
64,0000064.bin,11.812570666389108,11.812570666389108,False
65,0000065.bin,1000000000.0,1000000000.0,True
66,0000066.bin,9824841.824352186,12675901.59982067,False
67,0000067.bin,35670389.485406235,47501359.546855,False
68,0000068.bin,74014703.2446142,1967632.8970727583,False
69,0000069.bin,11857.899296659078,12954.004141813693,False
70,0000070.bin,1000000000.0,1000000000.0,True
71,0000071.bin,596.9337109654139,1237.9654148553786,False
72,0000072.bin,507864.6900054181,1309103.2568241463,False
73,0000073.bin,1000000000.0,1000000000.0,True
74,0000074.bin,87.08586226662362,287.79210171476694,False
75,0000075.bin,1000000000.0,1000000000.0,True
76,0000076.bin,1000000000.0,1000000000.0,True
77,0000077.bin,28789.30417746682,7181.062290185133,False
78,0000078.bin,1000000000.0,1000000000.0,True
79,0000079.bin,22104780.98801226,183499763.8541635,False
80,0000080.bin,273592298.64444494,411606532.85037756,False
81,0000081.bin,1000000000.0,1000000000.0,True
82,0000082.bin,1000000000.0,1000000000.0,True
83,0000083.bin,7.170679302587558,7.170679302587558,False
84,0000084.bin,156.64544906757257,156.5068860874155,False
85,0000085.bin,1068.5019311027932,10774.635601957927,False
86,0000086.bin,121.9349324997422,121.9349324997422,False
87,0000087.bin,1000000000.0,1000000000.0,True
88,0000088.bin,1000000000.0,1000000000.0,True
89,0000089.bin,1319.684035770095,1387.9614726271395,False
90,0000090.bin,452629.33176982054,272999.21068927203,False
91,0000091.bin,525542.3076277643,498606.5990606819,False
92,0000092.bin,1883653.4488745735,3298411.802439538,False
93,0000093.bin,7569.894681553514,18167.054434302147,False
94,0000094.bin,1027.5888582326868,450.67863557148246,False
95,0000095.bin,1000000000.0,1000000000.0,True
96,0000096.bin,1000000000.0,1000000000.0,True
97,0000097.bin,1000000000.0,1000000000.0,True
98,0000098.bin,29.92982040513403,29.92982040513403,False
99,0000099.bin,1000000000.0,788533514.8772914,True
100,0000100.bin,1000000000.0,1000000000.0,True
101,0000101.bin,1000000000.0,1000000000.0,True
102,0000102.bin,1000000000.0,1000000000.0,True
103,0000103.bin,27142929.8422909,31444332.87093006,False
104,0000104.bin,246911.73149944443,368520.9892010038,False
105,0000105.bin,1000000000.0,1000000000.0,True
106,0000106.bin,1000000000.0,1000000000.0,True
107,0000107.bin,64.12050330024474,64.12050330024474,False
108,0000108.bin,12682712.17088652,884626.0996907884,False
109,0000109.bin,3116.9975581830918,21694.379215625126,False
110,0000110.bin,1000000000.0,1000000000.0,True
111,0000111.bin,1000000000.0,1000000000.0,True
112,0000112.bin,1000000000.0,1000000000.0,True
113,0000113.bin,197.07272871600418,157.37412665788253,False
114,0000114.bin,569.9484882124436,652.3940848786781,False
115,0000115.bin,4762.400171899587,4897.739325182239,False
116,0000116.bin,7.794115183600938,7.794115183600938,False
117,0000117.bin,23084.801742832253,32509.92694264297,False
118,0000118.bin,1270725.8963542813,98043.87150200158,False
119,0000119.bin,388647997.68107104,140268635.75187966,False
120,0000120.bin,954330.7832030028,250866.6122809735,False
121,0000121.bin,1000000000.0,1000000000.0,True
122,0000122.bin,1000000000.0,1000000000.0,True
123,0000123.bin,28347.01860952458,71280.1210002716,False
124,0000124.bin,294323.7912810815,646365.1776299814,False
125,0000125.bin,1000000000.0,1000000000.0,True
126,0000126.bin,1000000000.0,1000000000.0,True
127,0000127.bin,2.6673580621969952,2.6673580621969952,False
128,0000128.bin,2182.9354274714415,747.7016281401354,False
129,0000129.bin,192176835.89534605,7841196.658965346,False
130,0000130.bin,1000000000.0,1000000000.0,True
131,0000131.bin,2930240.407941973,21260964.947194137,False
132,0000132.bin,1798.3868006086873,58185.11358806777,False
133,0000133.bin,1000000000.0,1000000000.0,True
134,0000134.bin,1000000000.0,1000000000.0,True
135,0000135.bin,1000000000.0,1000000000.0,True
136,0000136.bin,1000000000.0,1000000000.0,True
137,0000137.bin,131140.44940962706,85745.47993278148,False
138,0000138.bin,1000000000.0,473505018.5628115,True
139,0000139.bin,1000000000.0,1000000000.0,True
140,0000140.bin,853.8229534117118,1605.317401288031,False
141,0000141.bin,403050.2413998331,200880.2272960889,False
142,0000142.bin,67063830.05038244,181511517.2557973,False
