,runstring,m1,m2,m3
0,0000000.bin,3.984920040268468e-06,1.2444171101394952e-05,2.531702420746453e-07
1,0000001.bin,2.065556889998561e-07,1.6814316545594097e-05,6.83043088193565e-07
2,0000002.bin,1.797281332528713e-07,3.209938505272419e-05,9.648477021995057e-05
3,0000003.bin,4.704417866234955e-05,6.920889240143199e-06,1.615757544835516e-05
4,0000004.bin,3.5141454564014132e-06,7.277734243808846e-07,4.655599532985836e-05
5,0000005.bin,8.506777694849438e-07,3.92045790571846e-06,5.536194961302678e-07
6,0000006.bin,5.3918960096739694e-05,1.9349685449512854e-05,1.2897087564798737e-07
7,0000007.bin,3.136319769390542e-06,5.80514492940267e-07,7.423515580929392e-07
8,0000008.bin,4.920838215868366e-05,7.707374804625428e-05,2.3933932805142413e-07
9,0000009.bin,2.6150460515175746e-06,7.541846095853092e-05,3.008169261676054e-07
10,0000010.bin,2.0427326956626737e-06,9.07606313072218e-06,2.769227966152944e-07
11,0000011.bin,1.0964775176042514e-06,4.921103493851501e-06,8.324822375643901e-07
12,0000012.bin,9.637567730325028e-06,9.384728079175747e-06,9.982414495726228e-06
13,0000013.bin,1.2300478097353166e-07,1.137035521132719e-05,1.1278356221907113e-05
14,0000014.bin,1.2456842875201213e-07,4.272864634117722e-07,1.0317837210366028e-06
15,0000015.bin,4.915939915853605e-05,1.2165295981193691e-05,1.1501821090549106e-05
16,0000016.bin,7.162664398797019e-05,2.7635867702333565e-06,1.7819232236268968e-06
17,0000017.bin,1.1036661623439618e-07,4.075419638369556e-06,3.475165029852373e-07
18,0000018.bin,6.199477532145023e-06,3.566929557729849e-06,3.9356474750320545e-05
19,0000019.bin,2.9859625765838507e-07,1.4948529832100285e-06,8.072277618632483e-07
20,0000020.bin,1.3009419064926598e-07,5.793848425381963e-07,2.1248358534934677e-06
21,0000021.bin,3.880681572302254e-06,9.843468338023226e-06,3.6521053994594127e-05
22,0000022.bin,1.1771952269460806e-07,9.905856039405164e-05,3.4467231196967246e-07
23,0000023.bin,1.0281435894164175e-07,1.3865734086725021e-06,2.73163634094815e-05
24,0000024.bin,2.1371385528256422e-07,8.975764641487622e-06,1.717010196120869e-05
25,0000025.bin,2.2993640635700884e-07,3.047556294659122e-07,2.0934766721446453e-06
26,0000026.bin,4.125495725389648e-07,9.12583829034091e-05,6.342661838686886e-06
27,0000027.bin,6.786653507998936e-07,2.9108900474808894e-05,7.209876203697729e-07
28,0000028.bin,2.4692019311029544e-07,4.0149846109683605e-07,6.191313253433553e-06
29,0000029.bin,1.8053536527029371e-07,6.245876766171292e-06,6.564757477847257e-06
30,0000030.bin,8.747848287779659e-07,3.1042440635652833e-07,2.3354181346508957e-06
31,0000031.bin,4.93750846337968e-07,2.173685947146365e-07,1.5083853269420514e-06
